2022-04-24 01:36:07: Waiting for 16(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:36:24: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:36:55: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:37:25: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:37:55: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:38:26: R: File Monitoring: Cannot Connect: msgraph://graph.microsoft.com/:drive:910be7654abbbbd2/notebook_table_data: no reply after 147(120)-sec timeout on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:38:26: Expanded 'file:///%GSDISK%/Users/Admin/Desktop/notebook_table_data' to 'file:///C:/Users/Admin/Desktop/notebook_table_data'
2022-04-24 01:38:26: Waiting for 8(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:38:34: Waiting for 16(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:38:51: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:39:21: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:39:52: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:40:22: Waiting for 30(120) sec on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
2022-04-24 01:40:52: no reply after 146(120)-sec timeout on verb GET: Cannot resolve IP name (bad name or no connection); name=graph.microsoft.com; port=443
